"","varame","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","rhat"
"1","be[1]",43.5143871864634,1.00839203271692,41.5788538449047,42.8034434207044,43.5268163591644,44.2039305234226,45.5041838655167,1.00137436600167
"2","be[2]",8.81014847046801,1.64225865556899,5.66219349356949,7.68313400904347,8.77814765829857,9.91173847865197,11.9984619268147,1.00133135234102
"3","be[3]",6.41595747941139,1.76210272305509,2.97368663666162,5.21653167552717,6.38013597315846,7.59918366615689,9.91896563125209,1.00036978734446
"4","be[4]",5.87728022791803,1.59165968399816,2.72483928639459,4.80410552478152,5.89188056565594,6.98612355791956,8.86741044401077,1.00071125015822
"5","s_1",6.26277217225359,0.855830994759671,4.58091448310795,5.68495129765014,6.25037764796115,6.8209539093399,7.96257907980723,1.00221689438668
"6","s_2",1.16973765280919,0.855415595932882,0.0394222214384118,0.487224510998116,0.999976314639504,1.69995436213706,3.17110985964942,1.00093633369673
"7","sgm",17.3132003556125,0.449676920730123,16.4602280894823,17.0090058872302,17.3010763767205,17.6134180373655,18.2146526687225,1.00020312779828
"8","g",10.1162937332904,19.0103744913553,1.52480409331954,3.6014942517977,6.07795617813878,10.7219684882487,40.8345432640164,1.00005208219431
