ID,group,time,entativity,similarity,trust,IOS,difficulty,fun,embarrassment,familiarity,familiarity1,familiarity2,familiarity3,InstructionFollowing,synchronization,sex,age,Language,musicianship
1,synchronous song,pre-intervention,2,3,2,4,1,5,1,1,3,,,,,Female,,English,
2,synchronous song,pre-intervention,4,5,5,5,,,,,,,,,,Female,,English,
3,synchronous song,pre-intervention,2,3,4,4,2,5,4,3,4,3,2,6,6,Male,38,English,
4,synchronous song,pre-intervention,1,5,5,2,5,4,7,1,,,,,,,,English,
5,asynchronous speech,pre-intervention,2,3,3,4,1,5,1,1,3,,,,,Female,,English,
6,asynchronous speech,pre-intervention,5,5,5,5,,,,,,,,,,Female,,English,
7,asynchronous speech,pre-intervention,2,3,4,3,2,5,4,3,4,3,2,6,6,Male,38,English,
8,asynchronous speech,pre-intervention,2,5,5,2,5,4,7,1,,,,,,,,English,
1,synchronous song,post-intervention,4,5,5,5,,,,,,,,,,,,English,
2,synchronous song,post-intervention,6,6,5,5,,,,,,,,,,,,English,
3,synchronous song,post-intervention,5,3,4,5,,,,,,,,,,,,English,
4,synchronous song,post-intervention,5,6,6,6,,,,,,,,,,,,English,
5,asynchronous speech,post-intervention,5,5,5,5,,,,,,,,,,,,English,
6,asynchronous speech,post-intervention,6,6,6,5,,,,,,,,,,,,English,
7,asynchronous speech,post-intervention,4,3,4,5,,,,,,,,,,,,English,
8,asynchronous speech,post-intervention,4,3,4,3,,,,,,,,,,,,English,
9,asynchronous song,pre-intervention,2,3,2,3,,,,,,,,,,,,Maori,
10,asynchronous song,pre-intervention,4,5,4,5,,,,,,,,,,,,Maori,
11,asynchronous song,pre-intervention,2,4,4,4,,,,,,,,,,,,Maori,
12,asynchronous song,pre-intervention,1,4,5,2,,,,,,,,,,,,Maori,
13,synchronous speech,pre-intervention,4,3,2,3,,,,,,,,,,,,Maori,
14,synchronous speech,pre-intervention,5,5,4,5,,,,,,,,,,,,Maori,
15,synchronous speech,pre-intervention,2,4,3,4,,,,,,,,,,,,Maori,
16,synchronous speech,pre-intervention,1,4,5,3,,,,,,,,,,,,Maori,
9,asynchronous song,post-intervention,4,5,5,4,,,,,,,,,,,,Maori,
10,asynchronous song,post-intervention,6,5,5,5,,,,,,,,,,,,Maori,
11,asynchronous song,post-intervention,4,3,4,5,,,,,,,,,,,,Maori,
12,asynchronous song,post-intervention,5,6,6,5,,,,,,,,,,,,Maori,
13,synchronous speech,post-intervention,4,5,4,4,,,,,,,,,,,,Maori,
14,synchronous speech,post-intervention,5,5,5,5,,,,,,,,,,,,Maori,
15,synchronous speech,post-intervention,4,3,5,4,,,,,,,,,,,,Maori,
16,synchronous speech,post-intervention,5,5,6,5,,,,,,,,,,,,Maori,
