"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat"
"sgm",602.133942383744,823.294967642377,69.5316905234789,180.201108381971,344.732388191314,714.365362547692,2721.31101223649,0.999413646717632
"s_1",8.18156261286932,5.05067789468038,2.10194796510226,4.71654724292877,6.64972100123513,9.2727423452836,19.8739787449014,0.999568420359055
"s_2",3.46471946103828,1.4012497687618,1.95963862511297,2.48074956388893,2.94231312930123,4.09201619372281,7.33444084384711,1.00180867107561
"be_1",-472.467541346687,1482.1318671865,-3862.07780817473,-728.947927081468,-224.608102114137,24.4883275353581,1785.39795302465,1.00028158780093
"be_2",2220.35504820737,4296.24496916579,-1879.92191142991,599.147088634124,1302.49431659504,3002.37173389915,12316.9554323586,0.999231458037276
"be_3",583.073117783833,3138.28952183848,-3103.48209032333,-200.631218515018,208.122498833085,1081.52512041739,6358.313307596,1.0003580270213
"be_4",566.438408012959,2837.02960705515,-3269.79841435236,-199.431823907514,271.451032362894,1101.37110873767,5891.50180396071,0.999428193338917
"g",6.65864506641355,8.26126617928292,1.07005577962421,2.95052295669215,4.49728370346856,7.55580920687968,23.4989722533301,1.00179395950529
