"","varame","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","rhat"
"1","be[1]",43.5608838165684,0.85865018683493,41.8732661368652,42.9668725018875,43.5503797253394,44.1368274055669,45.2664258175133,1.00039344537005
"2","be[2]",7.2641565106322,0.803744157712371,5.68057644698722,6.73143579338923,7.27635868440224,7.82351319565952,8.7725371338336,1.00036910555305
"3","be[3]",5.99486803685181,1.01848365764354,4.03445836025818,5.29207644256206,6.00690376490419,6.67450277938116,7.96089462121039,0.999961916600696
"4","be[4]",7.86366148700264,0.808718608953472,6.34319527479301,7.30070998705025,7.83985285246758,8.40084809161029,9.51671990557156,1.00000392019103
"5","s_1",6.86913671060518,0.778404669655028,5.35725208882199,6.32493766020949,6.85520086972414,7.39821382950966,8.42755901732187,1.0000242022655
"6","s_2",12.4112210995607,0.550260139149889,11.3270588957461,12.0445101158773,12.409820858522,12.7767177665659,13.4653075011794,1.00001365638156
"7","sgm",11.824846360801,0.37530796522651,11.1150163644715,11.5673009633174,11.8137062947703,12.0763220584941,12.570961698286,1.00095225434038
"8","g",10.1608333090467,38.1926994313466,1.43377864055088,3.34731417150723,5.52315113741732,9.91721937285108,37.4069594140787,1.00197341120195
