"","varame","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","rhat"
"1","be[1]",43.2666418995604,1.19664600357063,40.9416415983305,42.4485488547823,43.2532898768123,44.0471290195614,45.6557397696629,1.00208283612831
"2","be[2]",8.86706967214231,2.12647674398145,4.89702159732808,7.36844980273011,8.84818007392536,10.2905328521256,13.1653183987808,1.00016891440355
"3","be[3]",6.69015369560557,2.34460138722997,2.1854322234658,5.12110407305557,6.67717000168084,8.25951958241065,11.2290891471325,1.00304301963876
"4","be[4]",5.48620690394562,2.1744521942418,1.08988898154355,4.03722745930971,5.51950115586129,6.93549086978885,9.57719091230987,1.00109130508729
"5","s_1",1.82642291016144,1.30006113600948,0.0621748826763125,0.739469094100639,1.61001297944141,2.70820512558081,4.62888319975883,1.00015460126579
"6","s_2",0.895195910575339,0.684717879517367,0.0326451429836041,0.36173625637386,0.742715024630062,1.29987089472975,2.49679364029855,1.00051316294132
"7","sgm",18.383535821078,0.601525137790464,17.2592018914801,17.9625472757193,18.3846765064295,18.7905097247655,19.5610166371918,1.00089292764053
"8","g",12.3135988861945,15.8194180783763,2.32026966279295,4.79490607078021,7.83112065773468,13.7300914865782,49.9573312492617,1.0024835679923
