"","varame","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","rhat"
"1","be[1]",715.192958139068,25907.0454585511,-28983.9117233427,-3938.75638162761,670.776958843674,4506.83827131709,26478.5988315659,1.07659265890304
"2","be[2]",8772.62791281122,38747.1797030738,-27907.2507697432,-341.087981167872,3906.41882046436,12992.2885745183,63528.5208176654,1.03156273314959
"3","be[3]",-11467.8377905657,55495.6439472469,-68796.1269611315,-13612.9910675537,-4164.93413464733,-87.180094030241,22302.9216673081,1.03007594233696
"4","be[4]",292.954750608965,38450.2026692523,-49553.668267995,-5950.6968191821,866.111682731219,7377.05727841191,56089.2300205026,1.07922456900613
"5","s_1",880.652439368972,949.865327793215,24.9199434349735,240.573559353588,568.421005921414,1189.51415639789,2757.28514628066,1.05861299185018
"6","s_2",982.375612187817,1261.35782603454,26.4796175616237,309.05186917549,703.022581593646,1382.87327073902,3444.00848129095,1.01794196203908
"7","sgm",2404.64024266741,4750.91062441017,293.40927881211,824.214328151578,1480.41129612262,2663.98233610546,8966.09414683694,1.13421925716603
"8","g",31.4397926624697,47.171860558528,2.93015493530109,9.77882028613885,18.1294031242929,32.5522069512968,147.257466579613,1.01787589737603
