"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat"
"sgm",19.5258090201999,2.2398574067479,15.6149133285919,17.988674620851,19.3092659363852,20.8814865071746,24.4853996764034,1.00251435561222
"s_1",0.961288972910765,0.77779941388345,0.0508280447152488,0.145857049003964,0.752222265256067,1.69786248866646,2.43381881737969,1.00180415175707
"s_2",1.57928403353874,0.408393420626249,0.917829830922477,1.28856950215841,1.53958388689292,1.87019410765267,2.41229208181117,0.999516464080622
"be_1",45.0535916808604,3.74315141449929,37.5063774102668,42.5967060251305,45.1601601645515,47.3586253600063,52.6543259454783,1.00466991977177
"be_2",NA,NA,NA,NA,NA,NA,NA,NA
"be_3",4.30996813380087,8.14758508144016,-11.1111008861966,-1.22961688307235,3.89935822727596,9.73100879196542,20.2736684297379,0.999422545688172
"be_4",4.15601580462358,8.5490814117861,-13.5335665998933,-1.75395612526323,4.32857098817633,10.4246868302351,21.0040615210908,1.00054124922877
"g",20.710633845441,52.9837912970572,2.44605799951656,5.62660244454498,9.57187638103743,17.5413660233488,112.906567902511,1.00019982906098
