"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat"
"sgm",17.0191714474312,0.438511147570899,16.1666370470782,16.7161811024536,17.043880831633,17.3186493241381,17.8498925231912,1.00566824113775
"s_1",6.81519140651989,0.801020761419507,5.23814064048692,6.27006908330959,6.84228745499231,7.31567854781911,8.46731146907979,1.00064400758802
"s_2",3.79059138047776,0.701537568341045,2.68611099136943,3.23070121065278,3.73474427004164,4.2422587340064,5.28364700375145,0.999080073340985
"be_1",45.2662893990617,0.913550189339983,43.4357019944665,44.6730767686018,45.2753350740338,45.840684535629,47.0681013294526,0.99906512819733
"be_2",NA,NA,NA,NA,NA,NA,NA,NA
"be_3",5.40332066225244,1.55629891349377,2.42851468932264,4.354726540123,5.39268497048327,6.3666694589977,8.47197522160574,1.00245035046422
"be_4",5.31706242459531,1.67340858700021,2.01045574847032,4.29081157995641,5.2991952198615,6.43062399710783,8.43687681972285,1.00053728856923
"g",15.9425804109652,26.5902704734537,1.91218448151286,4.54358126930824,8.42076580702887,15.8590091337032,78.5429691801519,0.999242683179001
