"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat"
"sgm",33.1346020968078,22.8984636665809,14.0128217145308,21.986523360092,28.6765352020533,38.8705831723781,75.2964921853463,0.999140793979496
"s_1",5.34472669956243,4.29307337681939,1.33286303851526,2.10714864269983,3.47903403745772,8.02096026132602,15.8809665990885,1.00004265225304
"s_2",1.1355306063202,0.374867260208238,0.730531442121931,0.912160931776895,1.04869345296673,1.26285913841941,2.08117990566798,1.00078874592804
"be_1",42.8317232550879,19.3302419187613,2.72861545457446,31.6256661053484,43.2213450740328,53.3474056223537,79.5334386390678,0.999270577700263
"be_2",NA,NA,NA,NA,NA,NA,NA,NA
"be_3",5.16502387350084,44.019004959554,-80.6795817661879,-16.9866150862062,5.28455132835675,31.8153056086917,98.8903344150171,1.00078190312171
"be_4",7.13442304216426,43.9573573576235,-81.1619765336661,-18.3310712654915,6.21242670147711,30.7135252326403,97.3108096162264,1.0011977486123
"g",17.8902098814505,60.4091885964031,1.66418296707583,4.14128285687103,7.89057464953638,15.2779095076939,71.4129803581773,0.999583631754328
