"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat"
"sgm",499.638256209258,538.069267956834,33.1654835683334,148.719179836713,325.921171697607,649.913221837083,1978.83990267152,0.999967718344136
"s_1",7.41674029901961,8.93375286750552,1.89629199696407,3.96791687010992,6.26661064491087,10.4543004608708,12.7560454809173,1.0010046006117
"s_2",5.50608438651943,1.13691285751792,3.49056966138836,4.8091071430622,5.45318711211838,6.37777793687492,7.44235189198262,1.00092618120195
"be_1",573.520476262672,1677.56210344403,-2228.03808481728,-347.916904895263,200.323966226685,1384.36046980797,4321.39114283355,0.999894303464579
"be_2",NA,NA,NA,NA,NA,NA,NA,NA
"be_3",-650.26616377154,3711.9749266247,-10094.5990549636,-1845.49527618023,-173.615693283088,1239.90324427349,6017.25010333162,1.00267522437381
"be_4",-1069.2322443387,3684.18537782178,-9344.50603120324,-2530.63865934899,-432.05483544904,833.376731526988,5730.85476250988,1.00029824019986
"g",97.1179214875303,233.913540089317,2.7768756506542,11.9225047661055,29.8316014260918,87.1891848652306,587.746381058267,0.999594862793865
