"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat"
"sgm",22.2534197839887,5.2863139942862,14.8495728495293,18.5517695486187,21.4078961767279,24.6607417840499,35.2103384231271,1.00544068306745
"s_1",2.26397674446965,1.52533118695797,0.941114068480135,1.30275784496044,1.69329474984086,2.59315512357201,6.76668206338621,1.00241561635557
"s_2",1.79620065461705,0.980115490256884,0.582768252142749,1.20285277348201,1.52659658122593,2.18063513308417,4.47878713746523,1.00069851539223
"be_1",35.6788202672133,8.4830241157084,17.1762574712641,30.7540209974503,36.0784828270159,41.4292598577496,50.6514637376021,1.00225313647315
"be_2",31.845295598389,13.9793234302016,9.48609006096391,21.5848326262208,29.8132508658539,40.6556026701693,63.0981265073997,1.00108998881502
"be_3",12.960943516599,16.3178942170362,-17.6993954989679,2.59449458574367,12.8242788693744,22.9438473264382,47.9360948454611,1.00005973882744
"be_4",11.5930147633317,16.8084555405535,-21.4313025647267,1.10741222303024,10.8885444587619,21.8360852500259,47.1088146626644,1.00006739073933
"g",5.81025842327458,6.08491294370185,1.19736600577349,2.7020256906912,4.13828522124224,6.51038311700308,22.1786170286808,0.999681889890743
