"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat"
"sgm",17.1697291193821,0.481098821730012,16.2329528569144,16.8543562735453,17.1644994718586,17.5115816035424,18.0629621557385,0.999532558673991
"s_1",6.61538657931309,0.787967647069588,5.08414130709493,6.0856075451668,6.62849492213991,7.14623308643267,8.15661042823685,0.999651047466764
"s_2",3.45865235419678,1.07556805750617,1.66606836094894,2.4527298562647,3.69128161448023,4.23379741206572,5.41111191949704,0.999235422927876
"be_1",45.3217458289229,0.914484277653577,43.4515200875706,44.722629540725,45.2970126144927,45.9303785105954,47.0732919388652,1.00196625059546
"be_2",NA,NA,NA,NA,NA,NA,NA,NA
"be_3",5.19958877476966,1.62440629796185,2.17616537646792,4.11294063883127,5.16685019178864,6.2557893941455,8.44993474231864,1.00057095100014
"be_4",5.16509891968795,1.64597928976832,1.96414520415144,3.99575495536297,5.18598766438718,6.28380912574041,8.39873664916023,1.00057387446511
"g",20.9426280305476,67.7266710430708,1.94108397397094,5.33937166727809,9.09148266912934,17.4976157170485,94.9059497794324,0.999079545626703
